PyTorch APIs,PaddlePaddle APIs,说明
torchvision.transforms.ToTensor,paddle.vision.transforms.ToTensor,功能一致
torchvision.transforms.RandomHorizontalFlip,paddle.vision.transforms.RandomHorizontalFlip,功能一致
torchvision.transforms.CenterCrop,paddle.vision.transforms.CenterCrop,功能一致
torchvision.transforms.ColorJitter,paddle.vision.transforms.ColorJitter,功能一致
torchvision.transforms.Grayscale,paddle.vision.transforms.Grayscale,功能一致
torchvision.transforms.Normalize,paddle.vision.transforms.Normalize,[差异对比](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/vision/torchvision.transforms.Normalize.md)
torchvision.transforms.RandomResizedCrop,paddle.vision.transforms.RandomResizedCrop,功能一致
torchvision.transforms.Pad,paddle.vision.transforms.Pad,功能一致
torchvision.transforms.RandomCrop,paddle.vision.transforms.RandomCrop,功能一致
torchvision.transforms.RandomRotation,paddle.vision.transforms.RandomRotation,功能一致
torchvision.transforms.RandomVerticalFlip,paddle.vision.transforms.RandomVerticalFlip,功能一致
torchvision.transforms.Lambda,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/vision/torchvision.transforms.Lambda.md)
torchvision.utils.save_image,无对应实现,[组合实现](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/vision/torchvision.utils.save_image.md)
torchvision.models 系列模型,X2Paddle提供,[使用方式](https://github.com/PaddlePaddle/X2Paddle/tree/develop/docs/pytorch_project_convertor/API_docs/vision/torchvision.models.md)
